航空公司,航班号,进机位时间,出机位时间,属性,航班任务,机型,最大旅客数
CZ,1001,2016-6-30 21:00:00,2016-7-1 0:05:00,国际,Y,332,606
CZ,1002,2016-6-30 19:30:00,2016-7-1 0:05:00,国际,Y,332,606
Y8,1003,2016-6-30 6:55:00,2016-7-1 0:05:00,国内,I,73Y,298
AK,1004,2016-6-30 23:20:00,2016-7-1 0:10:00,国际,Y,320,312
CA,1005,2016-6-30 8:50:00,2016-7-1 0:15:00,国内,I,75F,238
CZ,1006,2016-6-30 16:45:00,2016-7-1 0:20:00,国际,Y,332,606
CZ,1007,2016-6-30 17:10:00,2016-7-1 0:30:00,国际,Y,788,500
ET,1008,2016-6-30 14:55:00,2016-7-1 0:30:00,国际,Y,773,1100
CZ,1009,2016-6-30 15:30:00,2016-7-1 0:50:00,国际,Y,788,500
OZ,1010,2016-6-30 23:55:00,2016-7-1 0:55:00,国际,Y,321,362
QR,1011,2016-6-30 15:30:00,2016-7-1 0:55:00,国际,Y,773,1100
AK,1012,2016-7-1 0:30:00,2016-7-1 1:15:00,国际,Y,320,312
SQ,1013,2016-7-1 0:15:00,2016-7-1 1:20:00,国际,Y,333,880
CZ,1014,2016-6-30 19:20:00,2016-7-1 1:40:00,国际,Y,773,1100
9C,1015,2016-7-1 1:20:00,2016-7-1 2:25:00,国际,Y,320,312
NH,1016,2016-7-1 1:10:00,2016-7-1 2:30:00,国际,I,76Y,238
OZ,1017,2016-7-1 0:20:00,2016-7-1 2:30:00,国际,Y,320,312
Y8,1018,2016-6-30 6:20:00,2016-7-1 2:30:00,国际,I,73Y,298
FD,1019,2016-7-1 2:00:00,2016-7-1 2:50:00,国际,Y,320,312
CF,1020,2016-7-1 1:55:00,2016-7-1 2:50:00,国内,I,73Y,298
FX,1021,2016-6-30 22:05:00,2016-7-1 2:50:00,国际,I,77F,
AK,1022,2016-7-1 2:00:00,2016-7-1 3:00:00,国际,Y,320,312
EK,1023,2016-7-1 1:00:00,2016-7-1 3:00:00,国际,I,77F,
FX,1024,2016-7-1 0:50:00,2016-7-1 3:20:00,国际,I,77F,
FX,1025,2016-7-1 0:25:00,2016-7-1 3:25:00,国际,I,76Y,238
FX,1026,2016-7-1 1:45:00,2016-7-1 3:30:00,国际,I,M1F,238
FX,1027,2016-7-1 1:20:00,2016-7-1 3:35:00,国际,I,M1F,238
TZ,1028,2016-7-1 2:05:00,2016-7-1 3:45:00,国际,Y,788,500
KE,1029,2016-7-1 2:00:00,2016-7-1 4:00:00,国际,I,74Y,
FX,1030,2016-7-1 1:15:00,2016-7-1 4:00:00,国际,I,75F,238
FX,1031,2016-7-1 1:35:00,2016-7-1 4:05:00,国内,I,76Y,238
FX,1032,2016-7-1 1:00:00,2016-7-1 4:10:00,国际,I,76Y,238
Y8,1033,2016-7-1 2:50:00,2016-7-1 4:15:00,国内,I,73Y,298
FX,1034,2016-6-30 0:55:00,2016-7-1 4:15:00,国际,I,75F,238
FX,1035,2016-7-1 1:30:00,2016-7-1 4:30:00,国际,I,76Y,238
FX,1036,2016-7-1 1:35:00,2016-7-1 5:00:00,国际,I,M1F,238
TK,1037,2016-7-1 3:30:00,2016-7-1 5:30:00,国际,I,33F,
O8,1038,2016-7-1 4:50:00,2016-7-1 5:50:00,国际,Y,733,298
AK,1039,2016-7-1 5:05:00,2016-7-1 5:55:00,国际,Y,320,312
FX,1040,2016-7-1 2:30:00,2016-7-1 6:00:00,国际,I,77F,
CZ,1041,2016-6-30 18:05:00,2016-7-1 6:00:00,国内,2,320,312
PR,1042,2016-7-1 5:00:00,2016-7-1 6:10:00,国际,Y,320,312
AQ,1043,2016-7-1 0:10:00,2016-7-1 6:15:00,国内,Y,73H,238
ZH,1044,2016-6-30 22:25:00,2016-7-1 6:20:00,国内,Y,320,312
AQ,1045,2016-6-30 16:55:00,2016-7-1 6:20:00,国内,Y,738,378
AQ,1046,2016-7-1 1:05:00,2016-7-1 6:25:00,国内,Y,738,378
HU,1047,2016-6-30 21:30:00,2016-7-1 6:25:00,国内,Y,738,378
MU,1048,2016-7-1 0:10:00,2016-7-1 6:30:00,国内,Y,73G,268
CZ,1049,2016-6-30 23:50:00,2016-7-1 6:30:00,国内,Y,73G,268
AQ,1050,2016-7-1 1:00:00,2016-7-1 6:35:00,国内,Y,738,378
